layout,channel,x,y,z
standard_1005,FC4,0.062293100000000004,0.0237228,0.055630000000000006
standard_1005,FC6,0.0795341,0.0199357,0.024437999999999998
standard_1005,FT8,0.0818151,0.0154167,-0.01133
standard_1005,FT10,0.0841131,0.0143647,-0.050538
standard_1005,T9,-0.0858941,-0.0158287,-0.048283
standard_1005,T7,-0.0841611,-0.0160187,-0.009346
standard_1005,C5,-0.08028010000000001,-0.0137597,0.02916
standard_1005,C3,-0.06535809999999999,-0.0116317,0.064358
standard_1005,C1,-0.036158,-0.0099839,0.089752
standard_1005,Cz,0.0004009,-0.009167,0.100244
standard_1005,C2,0.037672,-0.0096241,0.088412
standard_1005,C4,0.06711790000000001,-0.0109003,0.06358
standard_1005,C6,0.0834559,-0.0127763,0.029207999999999998
standard_1005,T8,0.0850799,-0.0150203,-0.00949
standard_1005,T10,0.0855599,-0.0163613,-0.048271
standard_1005,TP9,-0.0856192,-0.0465147,-0.045707
standard_1005,TP7,-0.08483020000000001,-0.046021700000000006,-0.007056
standard_1005,CP5,-0.0795922,-0.0465507,0.030949
standard_1005,CP3,-0.0635562,-0.0470088,0.065624
standard_1005,CP1,-0.0355131,-0.0472919,0.091315
standard_1005,CPz,0.0003858,-0.047318,0.099432
standard_1005,CP2,0.0383838,-0.0470731,0.090695
standard_1005,CP4,0.0666118,-0.0466372,0.06558
standard_1005,CP6,0.0833218,-0.046101300000000005,0.031206
standard_1005,TP8,0.0855488,-0.0455453,-0.00713
standard_1005,TP10,0.0861618,-0.0470353,-0.045869
standard_1005,P9,-0.0730093,-0.07376569999999999,-0.040998
standard_1005,P7,-0.0724343,-0.0734527,-0.002487
standard_1005,P5,-0.06727230000000001,-0.0762907,0.028382
standard_1005,P3,-0.0530073,-0.0787878,0.05594
standard_1005,P1,-0.0286203,-0.0805249,0.075436
standard_1005,Pz,0.0003247,-0.08111499999999999,0.082615
standard_1005,P2,0.0319197,-0.08048709999999999,0.07671599999999999
standard_1005,P4,0.0556667,-0.0785602,0.056561
standard_1005,P6,0.0678877,-0.07590430000000001,0.028091
standard_1005,P8,0.0730557,-0.07306829999999999,-0.00254
standard_1005,P10,0.0738947,-0.07439029999999999,-0.04122
standard_1005,PO9,-0.054910400000000005,-0.0980448,-0.035465
